index,name,artist,release_date,length,popularity,tempo,time_signature
351,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,1976,5.020433333,71,135.962,4
352,Hush,Deep Purple,1968,4.416216667,54,108.442,4
353,Down On The Corner,Creedence Clearwater Revival,1969,2.771333333,73,108.217,4
354,The Beautiful People,Marilyn Manson,1996,3.6471,72,143.973,4
355,Jailhouse Rock,Elvis Presley,1958,2.441333333,72,167.396,4
356,Break on Through (To the Other Side),The Doors,1967,2.4311,72,89.839,4
357,Longview,Green Day,1994,3.887333333,67,142.504,4
358,Billie Jean,Michael Jackson,1982,4.8971,83,117.046,4
359,Zombie,The Cranberries,1994,5.1071,81,166.973,4
360,Boys Don't Cry,The Cure,1979,2.59955,74,168.766,4
361,What I Got,Sublime,1996,2.848433333,72,95.721,4
362,Here Comes The Sun - Remastered 2009,The Beatles,1969,3.09555,82,129.171,4
363,Do You Feel Like We Do,Peter Frampton,1996,13.91443333,52,106.597,4
364,Piano Man,Billy Joel,1973,5.65,76,177.734,3
365,Glycerine - Remastered,Bush,1994,4.44155,63,114.227,4
366,D'yer Mak'er - Remaster,Led Zeppelin,1973,4.379133333,63,163.503,4
367,Island In The Sun,Weezer,2001,3.338433333,76,114.623,4
368,Run to the Hills - 2015 Remaster,Iron Maiden,1982,3.891766667,60,173.671,4
369,Roundabout - 2003 Remaster,Yes,1971,8.50955,66,132.889,4
370,Aerials,System Of A Down,2001,3.91755,74,79.342,4
371,About A Girl,Nirvana,2002,2.777333333,70,131.761,4
372,When You Were Young,The Killers,2006,3.673766667,76,130.433,4
